doc_id	class_id
17	6
18	5
20	3
21	3
22	3
23	1
24	3
25	3
26	7
27	1
28	1
30	3
32	11
33	3
34	5
35	1
36	9
37	7
38	1
39	5
40	7
41	9
42	3
43	7
45	3
46	6
47	9
48	9
49	9
50	9
51	1
52	1
53	3
54	1
55	1
56	1
57	1
58	1
59	3
60	5
61	1
62	1
63	5
64	4
65	5
66	3
67	1
68	3
69	3
71	1
72	3
73	3
74	8
75	8
76	7
77	1
78	3
79	3
80	1
81	9
82	1
84	1
85	1
87	1
88	3
89	3
90	3
91	3
93	1
94	9
95	3
96	1
97	9
98	3
99	1
101	9
103	1
104	3
105	3
106	9
107	9
108	3
109	3
110	3
111	4
112	3
114	3
116	9
117	3
118	3
119	8
120	1
121	3
122	3
123	3
124	3
125	3
126	5
127	3
128	1
129	6
144	1
146	8
147	4
148	10
149	1
150	8
151	10
152	10
153	3
154	10
155	3
156	5
157	5
158	3
159	3
160	10
161	5
162	5
163	8
164	10
165	5
166	5
167	8
168	8
170	12
171	10
172	8
173	3
174	5
175	10
176	3
177	8
178	12
179	8
180	8
181	6
182	5
183	1
184	5
185	3
186	1
187	12
188	5
189	8
190	12
191	12
192	12
193	12
194	10
195	8
196	11
197	1
198	10
199	1
200	10
201	12
202	1
203	10
204	10
205	6
206	5
207	11
208	5
209	8
210	5
211	10
212	10
213	10
214	10
215	12
216	10
217	5
218	10
219	5
220	5
221	5
222	8
223	5
224	12
225	10
226	5
227	8
228	12
229	8
230	8
231	4
232	8
233	4
234	10
235	4
236	10
237	3
238	5
239	1
242	3
246	3
247	3
249	10
251	12
252	5
253	8
257	3
259	8
261	5
263	3
264	12
265	1
266	8
267	3
268	10
269	8
270	3
271	5
272	3
273	5
274	8
276	8
277	8
280	8
281	4
282	3
283	3
284	3
285	3
286	3
287	8
288	8
289	5
290	5
291	5
292	5
293	5
294	8
297	8
298	8
299	3
300	8
302	10
303	11
306	5
307	6
310	5
311	5
312	1
313	5
314	5
318	5
319	10
322	10
323	8
329	8
330	3
331	1
332	12
333	3
334	5
335	3
336	11
339	1
340	5
342	3
343	11
344	5
345	4
346	5
347	5
348	10
349	3
350	5
351	5
352	5
353	1
354	5
355	7
356	5
357	10
358	5
359	8
360	5
361	3
362	5
363	8
364	3
365	5
366	3
367	10
368	6
369	4
370	1
371	5
372	4
373	8
374	10
375	8
376	5
377	9
378	5
379	3
380	5
381	4
382	5
383	4
384	4
385	8
386	4
387	8
388	5
389	8
390	5
391	5
392	5
393	8
394	3
395	5
396	4
398	5
399	3
400	4
402	5
403	5
404	1
405	4
406	8
407	3
408	1
409	3
410	3
411	3
412	10
413	5
414	5
415	8
416	1
417	3
418	5
419	4
420	5
421	8
422	10
423	9
424	8
425	4
426	6
427	5
428	5
429	10
430	5
431	4
432	8
433	1
434	5
435	10
436	5
437	5
438	8
439	8
440	8
441	1
442	5
444	12
446	5
447	5
448	5
449	1
451	10
452	5
453	11
454	8
455	1
456	1
457	3
458	5
459	5
460	4
461	5
462	5
463	5
464	4
465	8
467	4
468	3
469	4
470	8
471	1
472	1
473	5
474	8
475	12
476	10
477	10
478	3
479	10
481	8
482	9
483	1
484	3
486	1
487	8
488	6
489	10
490	8
491	1
492	1
493	1
494	9
495	1
496	8
497	5
498	1
499	1
500	1
501	1
502	8
503	8
504	9
505	5
506	8
507	1
508	1
509	5
510	3
511	3
512	1
514	1
515	1
516	1
517	1
518	3
519	7
521	5
522	11
524	10
525	3
528	5
543	4
544	1
545	7
546	3
547	3
548	3
549	3
550	7
551	8
552	8
553	10
554	5
555	1
556	1
557	8
558	5
559	5
560	8
561	3
562	5
563	7
564	3
565	3
566	8
567	1
568	1
569	10
570	8
572	1
577	5
579	5
580	5
587	3
589	7
590	5
591	1
592	9
593	5
594	9
595	3
596	3
597	11
598	3
599	3
600	3
601	3
602	3
603	3
604	1
605	9
606	3
607	9
608	5
609	5
610	3
611	5
612	5
613	3
614	5
615	3
616	3
617	8
618	2
619	3
620	8
621	7
622	7
623	5
624	5
625	12
626	9
627	3
628	12
629	5
630	3
631	6
632	3
633	9
634	5
636	5
637	7
638	5
639	5
640	8
641	5
642	6
643	5
644	5
645	8
647	7
648	5
649	3
650	5
651	5
652	3
653	6
654	1
655	8
656	3
657	11
658	6
659	11
660	11
661	7
662	10
663	10
664	3
665	5
666	3
667	5
668	6
669	10
670	7
671	9
672	8
673	10
674	10
675	5
676	7
677	7
678	6
679	5
681	6
682	5
684	6
685	10
686	5
687	5
688	5
689	9
690	3
691	7
692	10
693	8
694	8
695	10
696	10
697	10
698	11
699	10
701	10
703	11
707	10
710	10
711	11
712	3
713	10
714	5
715	1
716	4
717	3
718	1
721	3
725	5
727	1
728	3
729	3
734	9
736	5
737	3
738	3
739	9
741	5
742	12
743	1
745	5
746	3
747	3
748	5
749	5
750	3
753	8
758	3
761	3
762	3
763	4
764	3
765	3
766	5
767	5
768	3
769	3
770	5
771	10
772	3
773	3
774	5
775	3
776	3
777	3
778	10
779	10
780	5
782	8
783	5
784	5
785	3
786	5
787	3
788	3
789	7
790	10
791	1
792	9
793	9
795	5
796	9
797	5
800	1
802	5
803	5
804	1
805	8
806	1
807	1
808	3
809	1
810	8
811	10
814	5
816	1
827	3
834	8
835	5
836	5
837	5
838	8
843	5
844	10
845	8
846	3
847	9
848	3
849	3
850	5
851	8
852	5
853	8
854	3
855	1
856	1
857	8
858	5
859	10
860	5
861	4
862	5
863	7
864	8
865	1
866	8
867	8
868	5
869	3
870	11
871	10
872	10
873	5
874	8
875	5
876	5
877	8
878	5
879	8
880	8
881	12
882	5
883	1
884	5
885	8
886	8
887	4
888	4
889	8
890	9
891	5
892	10
893	8
894	8
895	1
896	8
897	8
898	8
899	3
900	6
901	3
902	10
903	1
904	3
905	12
906	3
907	10
908	3
909	12
910	8
911	3
912	3
913	5
914	5
915	8
916	3
917	1
918	6
919	1
920	1
921	1
922	1
923	6
924	1
925	6
926	5
927	6
928	5
929	1
930	1
931	8
932	10
933	1
934	4
935	1
936	9
937	1
938	6
939	9
940	1
941	10
942	1
943	8
944	8
945	1
946	5
947	8
948	8
949	8
950	6
951	1
952	1
953	3
954	8
955	8
956	3
957	3
958	10
959	8
960	9
961	3
962	1
963	3
964	1
965	3
966	5
967	3
968	8
969	8
970	8
971	8
972	5
973	8
974	1
975	1
976	8
977	1
978	8
979	1
980	1
981	8
982	1
983	1
984	5
985	3
986	1
987	8
988	1
989	6
990	1
991	8
992	5
993	3
994	5
996	3
997	3
1000	1
1001	8
1002	3
1004	12
1008	1
1010	8
1017	5
1018	3
